cds,schoolname,districtname,countyname,charter_flag,math_status,english_status,combined_status,status_level,ReportingYear
44697576049571,Happy Valley Elementary,Happy Valley Elementary,Santa Cruz,,35.6,53.8,89.4,5,2018
01611276090161,Albany Middle,Albany City Unified,Alameda,,36.4,52.9,89.3,5,2018
07618046066591,Neil A. Armstrong Elementary,San Ramon Valley Unified,Contra Costa,,46.8,42.5,89.3,5,2018
44697650100388,Tierra Pacifica Charter,Live Oak Elementary,Santa Cruz,Y,53.7,35.6,89.3,5,2018
33751926110084,Red Hawk Elementary,Temecula Valley Unified,Riverside,,35.0,54.1,89.1,5,2018
42691956045488,Kellogg Elementary,Goleta Union Elementary,Santa Barbara,,38.6,50.3,88.9,5,2018
01611766090559,Steven Millard Elementary,Fremont Unified,Alameda,,40.5,48.2,88.7,5,2018
30664646095087,Moulton Elementary,Capistrano Unified,Orange,,40.2,48.1,88.3,5,2018
19650521938679,Temple City High,Temple City Unified,Los Angeles,,30.0,58.2,88.2,5,2018
30666476030027,Glenknoll Elementary,Placentia-Yorba Linda Unified,Orange,,35.7,52.4,88.1,5,2018
19645686061303,Rosemont Middle,Glendale Unified,Los Angeles,,42.4,45.6,88.0,5,2018
41690396044838,Baywood Elementary,San Mateo-Foster City,San Mateo,,36.5,51.5,88.0,5,2018
01611506090393,Independent Elementary,Castro Valley Unified,Alameda,,41.8,45.9,87.7,5,2018
42767866045934,Washington Elementary,Santa Barbara Unified,Santa Barbara,,37.6,50.1,87.7,5,2018
30667466030720,Schroeder Elementary,Westminster,Orange,,35.9,51.6,87.5,5,2018
01611436056857,Martin Luther King Middle,Berkeley Unified,Alameda,,35.2,52.1,87.3,5,2018
39685690132415,John McCandless Charter,Lincoln Unified,San Joaquin,Y,41.8,45.4,87.2,5,2018
30664986066922,Cox (James H.) Elementary,Fountain Valley Elementary,Orange,,43.6,43.4,87.0,5,2018
57726786066245,Ralph Waldo Emerson Junior High,Davis Joint Unified,Yolo,,41.6,45.1,86.7,5,2018
19650606023196,Edward J. Richardson Middle,Torrance Unified,Los Angeles,,40.7,45.8,86.5,5,2018
30736436116305,Pioneer Middle,Tustin Unified,Orange,,35.2,51.1,86.3,5,2018
01611196090013,Edison Elementary,Alameda Unified,Alameda,,37.8,48.4,86.2,5,2018
19648816021570,Field (Eugene) Elementary,Pasadena Unified,Los Angeles,,35.2,51.0,86.2,5,2018
19650606023105,Hickory Elementary,Torrance Unified,Los Angeles,,44.6,41.6,86.2,5,2018
